"from"	"to"	"strength"
"126"	"Bacteria_Firmicutes_Bacilli_Bacillales_Bacillaceae_Geobacillus"	"Bacteria_Proteobacteria_Gammaproteobacteria_Pseudomonadales_Moraxellaceae_Psychrobacter"	0,0103171668802187
"127"	"FO"	"Bacteria_Proteobacteria_Gammaproteobacteria_Pseudomonadales_Moraxellaceae_Psychrobacter"	0,87490067788815
"128"	"Bacteria_Proteobacteria_Gammaproteobacteria_Pseudomonadales_Moraxellaceae_Acinetobacter"	"Bacteria_Proteobacteria_Gammaproteobacteria_Pseudomonadales_Moraxellaceae_Psychrobacter"	0,00420485933308961
"129"	"Bacteria_Proteobacteria_Gammaproteobacteria_Vibrionales_Vibrionaceae_Vibrio"	"Bacteria_Firmicutes_Bacilli_Bacillales_Staphylococcaceae_Staphylococcus"	0,720229607071476
"130"	"Bacteria_Firmicutes_Bacilli_Bacillales_Staphylococcaceae_Staphylococcus"	"Bacteria_Firmicutes_Bacilli_Lactobacillales_Streptococcaceae_Streptococcus"	1,64287667322194e-06
"131"	"Bacteria_Actinobacteria_Actinobacteria_Actinomycetales_Corynebacteriaceae_Corynebacterium"	"Bacteria_Proteobacteria_Gammaproteobacteria_Alteromonadales_Pseudoalteromonadaceae_Pseudoalteromonas"	0,000287033783391739
"132"	"FO"	"Bacteria_Proteobacteria_Gammaproteobacteria_Alteromonadales_Pseudoalteromonadaceae_Pseudoalteromonas"	0,0847981638937123
"133"	"tissue"	"Bacteria_Proteobacteria_Alphaproteobacteria_Caulobacterales_Caulobacteraceae_Phenylobacterium"	0,00463487766011585
"134"	"Bacteria_Firmicutes_Clostridia_Clostridiales_Lachnospiraceae_Clostridium_XlVa"	"Bacteria_Proteobacteria_Alphaproteobacteria_Caulobacterales_Caulobacteraceae_Phenylobacterium"	0,0746876853437018
"135"	"FM"	"Bacteria_Actinobacteria_Actinobacteria_Actinomycetales_Brevibacteriaceae_Brevibacterium"	0,430972302221499
"136"	"Bacteria_Proteobacteria_Gammaproteobacteria_Vibrionales_Vibrionaceae_Photobacterium"	"Bacteria_Actinobacteria_Actinobacteria_Actinomycetales_Brevibacteriaceae_Brevibacterium"	0,742804438047382
"137"	"Bacteria_Proteobacteria_Alphaproteobacteria_Rhizobiales_Methylobacteriaceae_Methylobacterium"	"Bacteria_Proteobacteria_Betaproteobacteria_Burkholderiales_Oxalobacteraceae_Massilia"	0,000167751764688412
"138"	"Bacteria_Proteobacteria_Betaproteobacteria_Burkholderiales_Burkholderiaceae_Cupriavidus"	"Bacteria_Proteobacteria_Gammaproteobacteria_Vibrionales_Vibrionaceae_Vibrio"	0,226118862360735
"139"	"additive"	"Bacteria_Proteobacteria_Gammaproteobacteria_Pseudomonadales_Moraxellaceae_Acinetobacter"	0,0436981882559162
"140"	"tissue"	"Bacteria_Proteobacteria_Gammaproteobacteria_Pseudomonadales_Moraxellaceae_Acinetobacter"	8,45473776918293e-11
"141"	"Bacteria_Proteobacteria_Alphaproteobacteria_Rhizobiales_Methylobacteriaceae_Methylobacterium"	"Bacteria_Proteobacteria_Gammaproteobacteria_Pseudomonadales_Moraxellaceae_Acinetobacter"	5,16055162418132e-07
"142"	"additive"	"Bacteria_Proteobacteria_Gammaproteobacteria_Xanthomonadales_Xanthomonadaceae_Stenotrophomonas"	0,924002775179418
"143"	"Bacteria_Firmicutes_Bacilli_Bacillales_Bacillaceae_Bacillus"	"Bacteria_Proteobacteria_Gammaproteobacteria_Xanthomonadales_Xanthomonadaceae_Stenotrophomonas"	2,92326619916763e-06
"144"	"tissue"	"Bacteria_Actinobacteria_Actinobacteria_Actinomycetales_Micrococcaceae_Arthrobacter"	0,459619853525483
"145"	"additive"	"Bacteria_Actinobacteria_Actinobacteria_Actinomycetales_Micrococcaceae_Arthrobacter"	0,350706645418391
"146"	"FO"	"Bacteria_Actinobacteria_Actinobacteria_Actinomycetales_Micrococcaceae_Arthrobacter"	0,91876728826365
"147"	"Bacteria_Actinobacteria_Actinobacteria_Actinomycetales_Micrococcaceae_Micrococcus"	"Bacteria_Proteobacteria_Alphaproteobacteria_Caulobacterales_Caulobacteraceae_Brevundimonas"	0,0271221976905566
"148"	"Bacteria_Actinobacteria_Actinobacteria_Actinomycetales_Actinomycetaceae_Actinomyces"	"Bacteria_Actinobacteria_Actinobacteria_Actinomycetales_Micrococcaceae_Micrococcus"	1,05334551721999e-06
"149"	"FO"	"Bacteria_Proteobacteria_Alphaproteobacteria_Rhizobiales_Methylobacteriaceae_Methylobacterium"	0,98014260267822
"150"	"Bacteria_Actinobacteria_Actinobacteria_Actinomycetales_Actinomycetaceae_Actinomyces"	"Bacteria_Proteobacteria_Alphaproteobacteria_Rhizobiales_Methylobacteriaceae_Methylobacterium"	0,138314276865474
"151"	"Bacteria_Proteobacteria_Alphaproteobacteria_Rhodobacterales_Rhodobacteraceae_Paracoccus"	"Bacteria_Proteobacteria_Gammaproteobacteria_Pseudomonadales_Moraxellaceae_Acinetobacter"	1,29278263975113e-05
