"X.Bacteria_Bacteroidetes_Flavobacteriia_Flavobacteriales_Flavobacteriaceae_Chryseobacterium."	"X.Bacteria_Proteobacteria_Alphaproteobacteria_Rhodobacterales_Rhodobacteraceae_Paracoccus."
"113"	"Bacteria_Firmicutes_Bacilli_Lactobacillales_Lactobacillaceae_Lactobacillus"	"Bacteria_Firmicutes_Bacilli_Lactobacillales_Streptococcaceae_Streptococcus"
"114"	"Bacteria_Proteobacteria_Gammaproteobacteria_Alteromonadales_Alteromonadaceae_Alishewanella"	"Bacteria_Proteobacteria_Gammaproteobacteria_Vibrionales_Vibrionaceae_Aliivibrio"
"115"	"additive"	"Bacteria_Actinobacteria_Actinobacteria_Actinomycetales_Micrococcaceae_Rothia"
"116"	"FM"	"Bacteria_Actinobacteria_Actinobacteria_Actinomycetales_Micrococcaceae_Rothia"
"117"	"Bacteria_Proteobacteria_Gammaproteobacteria_Pseudomonadales_Moraxellaceae_Psychrobacter"	"Bacteria_Actinobacteria_Actinobacteria_Actinomycetales_Micrococcaceae_Rothia"
"118"	"FO"	"Bacteria_Actinobacteria_Actinobacteria_Actinomycetales_Micrococcaceae_Rothia"
"119"	"tissue"	"Bacteria_Actinobacteria_Actinobacteria_Actinomycetales_Micrococcaceae_Rothia"
"120"	"Bacteria_Bacteroidetes_Bacteroidia_Bacteroidales_Bacteroidaceae_Bacteroides"	"Bacteria_Proteobacteria_Alphaproteobacteria_Sphingomonadales_Sphingomonadaceae_Sphingomonas"
"121"	"additive"	"Bacteria_Proteobacteria_Gammaproteobacteria_Oceanospirillales_Halomonadaceae_Halomonas"
"122"	"Bacteria_Actinobacteria_Actinobacteria_Actinomycetales_Actinomycetaceae_Actinomyces"	"Bacteria_Proteobacteria_Betaproteobacteria_Burkholderiales_Oxalobacteraceae_Massilia"
"123"	"Bacteria_Firmicutes_Bacilli_Lactobacillales_Lactobacillaceae_Lactobacillus"	"Bacteria_Proteobacteria_Alphaproteobacteria_Caulobacterales_Caulobacteraceae_Brevundimonas"
"124"	"Bacteria_Proteobacteria_Alphaproteobacteria_Caulobacterales_Caulobacteraceae_Phenylobacterium"	"Bacteria_Actinobacteria_Actinobacteria_Actinomycetales_Brevibacteriaceae_Brevibacterium"
